,content,date,rating
25,"I listened to the excellent 12-hour Audible file read by Holter Graham and frankly wished it was longer. It was like a podcast of political horror fiction, a bombardment of multi-layered and gossipy anecdotes that kept me engrossed yet bewildered in wondering just how true any of the book really was (while hoping that is wasn't). Though taken at face value, Fire and Fury is an absolutely terrifying portrayal of unfathomable blundering and sinister plotting and backstabbing that points to inevitably troubling roads ahead for this White House, the nation as a whole, and possibly the world. Critics of the book's the validity have to seriously bear in mind how such a dismissal reflects upon a WH who allowed Wolff seemingly unfettered access to the West Wing for nearly a year. Assuming that even a percentage of the content is false or embellished doesn't change the fact that the WH aided the author in this book's creation. In fact, denying the book's authenticity only further shines a spotlight on the administration's own terrible judgment, in much of the way that Fire and Fury depicts Trump's insipid stupidity and amateurish incompetence. So, read it, listen to it, enjoy it, and try not to freak out.",January-6-2018,5
26,"I have to aver that this is totally bias propaganda from a left leaning journalist Michael Wolff that portrays the Trump administration in an unflattering portrayal to say the least.  Even having said this even if 25% of what is said or even for that 1% true then God help us!!!  This guy Trump is a shoot by the hip action guy who reacts first and then thinks next of the consequences.  Its not so bad when it comes to pushing legislation and domestic policy as it gets stuff done and is a refreshing brand of politics from the self serving swamp establishment status quo.  But when it comes to foreign policy it is actually a detrimental burden and could start a world war with Trump's impetuousness unchecked.The book goes into fastidious detail on the comings and goings of Trump's first year in office.  Definite must read to learn about the soap opera of Bannon, Jarvanka, McMaster, Preibus and Kelly.  I swear an episode of Dynasty couldn't be more interesting than the inside scoop of the soap opera that Wolf has written.  It has gotten me interested in politics as before I had little interest.  That's one thing you have to give to Trump:  Like or Hate him he has made DC politics EXCITING and INTERESTING again!  The likes we probably have not ever seen EVER!  Maybe the JFK era but JFK wasn't a loose cannon and didn't have twitter access.This book is a good buy for the price $19.99.  Like or Hate Trump, Democrat or Republican you have to read this book to get the dirt on Trump!  The biggest dirt I took from this book is that Donald Trump actually didn't want to win the 2016 election for president and that it was merely a way to gain publicity and to facilitate his creation of a new TV network on cable called the Trump Network.  No wonder Trump's administration was so slovenly unprepared in its first months of his term.  Then there was the salacious tidbit of the shameless Nikki Haley having an affair with the Donald.  The last piece of scuttlebutt I got from the book is that Steven Bannon is planning to run for President in 2020.  What a different world America would be after 2020 if Bannon wins.  Is Trump only the first of a revolution of right wing politicians coming in the future to win positions of power or just a joke to laugh about for four years?  Only time will tell.  Only wish there was information and gossip on Melania about her personality and how she feels about Trump's affairs, Jarvanka and her marriage overall.  Nothing in the book mentions anything about her except a passing reference.  I think if your going to write a Trump book then you have to at least put some information in there on what his wife is like and how she thinks and acts.  In conclusion, there is a reason this book is a best seller and deserves to be (assuming even if 10% of the insinuations and dirt inside are true).  Read this book to get the inside scoop on the blights, conflicts and drama of the Trump administration.",March-30-2018,4
27,Thank you Michael Wolff for documenting what many Americans have thought must be going on in the White House.  I felt like I was listening in on all those conversations.  Outstanding work.,January-11-2018,5
28,This book was very will written. So many of the things Mr.Wolf wrote about have come true. I try to read everything I can about the people that run our Country. No mater which party is running the country. If you want to learn more about the people that are in control I would suggest it to be read.I was very happy that i purchased the book.,February-13-2018,5
29,"I'm still in the process of listening to this VERY informative material, but so far an exciting  ""eye-opening bunch  of news!",January-13-2018,4
30,"If the review format allowed, I would put that OMG in 200-point font. The book describes a farce, not even a Greek tragedy that would require some gravitas, that is spoiled by the real consequences of the actors. A farce that is a nuclear-level Holocaust. And we get to live it, holding our collective breaths, in fear and anxiety.My earnest wish is for the author to write a sequel. Wouldnâ€™t that be grand? Consider a smiley-face here.Read this book.",February-8-2018,5
31,"I hardly think this book needs more publicity, since it took the nation by storm as soon as it came out, but I'll give my two cents. I waited like so many others while it was backordered and finally read it in a couple of  sittings as soon as I got it.What a fun read! I laughed my way through much of it, as Wolff relates anecdote after anecdote illustrating the utter incompetence of the first few months of the Trump regime. He's a witty and funny writer, so the pages go by fast. I took some comfort in the fact that while our nation was under siege by a fascist wannabe dictator and his racist bigoted staff and criminal family, they really had no clue what they were doing. The petty infighting and rampant disfunction of Trump's staff was alarming to hear about, but thank goodness none of them were smart enough to do really serious damage--at least not then.Wolff certainly burned all his bridges in getting people to rat on each other like this, and for that I say thank you! While other journalists were soft-pedaling Trump and normalizing his insane stunts and incoherent ramblings to preserve their precious access to the touchy baby man tyrant, Wolff was happily torching his sources, knowing this mission would be his last with this bunch.Some have denied saying things he attributed to them--like Anna Wintour, for instance. I'm willing to concede that Woolf is more interested in gossip than in Pulitzer Prize-level reporting, so I'll give Wintour and some others the benefit of the doubt. But Trump's racist/bigoted/sexist henchmen and family? Never. I believe every word Wolff reports about them.The only part of the book that slowed down for me was toward the end on a couple pages when I got the feeling Wolff's editor must have been standing over him with a ruler, ready to rap his knuckles unless he formed a few serious conclusions about how bad this all was for us--the crazy mayhem he was so gleefully describing on all the other 300 or so pages.Yes, there are some typos and errors that should have been caught through more careful proofreading--and that's why I'm penalizing Wolff a star and giving this 4 out of 5. But they don't detract from the overall gist of the book and they don't make me distrust the piles of consistent evidence Wolff supplies about Trump's White House.If you don't want to buy the book because you think you've heard all the good parts on talk shows and in Wolff's interviews--think again. Every page has something juicy and only by reading it will you be able to enjoy the tone and the style--which is a big reason I like it and recommend it. No, Mueller will probably not be referencing this in his indictments against Trump and his cronies, but as priceless background info on the Trump Reich, and for comic relief, this book can't be beat.edit: typos!",April-24-2018,4
32,"If only ten percent of this is true America is in peril for sure.  I only wish the authors writing style was a little less choppy.  There are lots of convoluted, complicated sentences that seem too wordy to get the point across.  That being said, if one can stick with it, the point does come across.  Perhaps if the writer would have tossed the thesaurus out and just spoke more plainly, it would have a greater impact.  That's why I only gave four stars; the bravery of it deserves five stars, and I am glad somebody finally said all that.",January-16-2018,4
33,"Michael Wolff's ""Fire and Fury: Inside the Trump White House"" promises from the beginning to offer a fly-on-the-wall view of the way things work (or don't) inside the Trump Administration. Early in his account, Wolff describes the campaign as resembling Mel Brooks' ""The Producers"" (pgs. 15-16) and this characterization, coupled with the political infighting of ""Game of Thrones"", dominates the feel of the book from then on. Steve Bannon emerges as the ""protagonist"" (if there is one) as much of the story revolves around his work to brand Trump's particular style of politics and turn it into a movement or his work to assert himself as the power-behind-the-power in the White House. The end result is a narrative that leaves one feeling somewhat dirty or complicit for this inside look.While Wolff's account feels true, and he had libel lawyers read the manuscript to make sure it was safe to publish, I would have liked to see the extensive notes section one expects in a book from a journalist. He only mentions early on that he either witnessed many of these events or was told them by people who are given away in his account. Some kind of documentation would have been preferable, even if it meant a lot of interviews not for attribution listed at the end. Also, for anyone who's been following the news these last few months, most of this information is already out there. Indeed, Wolff regularly quotes from CNN or New York Times headlines. Further, the news coverage of this book was so extensive that most people who read it will find exactly what they expect based on that coverage.If you are interested in politics or current events, give it a read, but save yourself the money and get it from the library.",April-19-2018,3
34,"Even though basically nothing should be shocking at this point, I found myself gasping internally pretty frequently. Honestly, if the things depicted in this book was made into a movie, youâ€™d be rolling your eyes at how â€œunbelievableâ€ù it was. Sadly, itâ€™s all too believable based on, well, basically everything trump says during his televised speeches.The book definitely has an agenda. Itâ€™s not by any means trying to be neutral & â€œstate the facts,â€ù but Iâ€™m ok with that because itâ€™s a good hate read. I liked how the author gives the sources as heâ€™s able or puts statements in quotes vs saying when somethingâ€™s parapharsed, heresay, etc.For someone whoâ€™s interested in current events, but gets much of my news from John Oliver (rip the old daily show), this was an easy, enjoyable (is it wrong if itâ€™s enjoyable? TBD) read. Nice to be able to see how the different stories fit together and to learn whoâ€™s who in trumpâ€™s circle (or rather, who was who).Looking forward to the sequel after impeachment",March-12-2018,4
35,"If this book is even partially true, we are in deep trouble.  I voted for Trump in hopes he would change the way Washington works.  I expected a serious, mature, successful CEO business approach to challenge the status quo.  This book reveals not only how Trump leadership is non existent, but how the whole political process is in shambles.  I'm ashamed of what our government has become.",January-21-2018,4
36,Surprisingingly good read. Of course there's plenty of gossip here but it comes close to giving some reasonable explanations for the apparently inexplicable.The author also has a sense of humor. Unless you're a bootlicking supporter of 45 you will find it worthwhile to read.,February-5-2018,5
37,"Well-written, insightful, and actually quite balanced despite its somewhat lofty and (delightfully) snarky air. Wolff writes about very unpleasant personalities behaving in unpleasant ways, and he does so unflinchingly. Yet he doesn't do so from some personal attack agenda, and he doesn't let anyone off the hook. Since I have read the book, I have been less bewildered, though no less dismayed, by the behavior coming out of the White House and, to some degree, Congress: Fire and Fury does a lot to create context for those of us who are puzzled by the apparent senselessness of this administration's behavior. Four stars rather than five only because (1) there were some instances where I would have very much liked to have known how Wolff got the info (i.e., was he in the room when a particular conversation was taking place?), and there are several instances of misspellings and/or typos -- probably because Trump's tantrum over the book and his public attempt to suppress it led to it being rushed to its release by the publisher.",January-29-2018,4
38,"I couldn't out this book down.  Trump camp has tried to spin this as untrue.  The irony is that, in Trump fashion, Wolff scammed his way into the White House.  After spending months there observing, he offers the point of view only some with long term access can provide.  It largely confirms what anyone following politics has already surmised.",January-21-2018,5
39,The truth is out,January-10-2018,5
40,Canâ€™t wait for the movie.  Tarantino or Coen bros should direct .,January-5-2018,5
41,"I was never one for horror movies or stories.  All the unlikely storylines, the exaggarated acting, the piercing screams and excessive fake blood.  Fire & Fury proves to be the one exception...it's the horror story that rings all too true, right down to the monsterous character responsible for it all.  Having been on the planet earth over the last year, it's certainly not difficult to believe any of the story; though, it proves to be far worse than what I'd previously imagined.  The damage that one man has been able to do to our great nation is truly horrific... and the lack of interest in putting and end to that damage from the remaining political establishment is criminal in itself.  Hopefully, it proves to be a short story.  Too, lets hope we learn some (hard) lessons from all this and institute ways to prevent one person from causing such carnage in the future.The story was well written and captured the reader's attention from beginning to end.  The narrator did a good job delivering the story without distracting from the author's words.  Well done to the author, narrator and all those involved in bringing us this unfortunate reality story.",January-10-2018,5
42,"This book is not the typical right verses left story. In fact, the left is mentioned only in passing. This is about the chaos and infighting among the people in the West wing with Trump in charge.  It describes what John McCain, Mitt Romney, the entire Bush family, and multiple other people were concerned about.  Very thought provoking...",February-12-2018,5
43,"Forget his detractors. Wolff is telling an important story here, and there have been exactly zero credible denials of the key material facts presented herein. Yes, there is opinion and speculation here, particularly when Wolff tries to infer affect and intention from outward behavior. But there's no attempt to package opinion as fact, and it's not difficult to separate the subjective from the objective.  One can argue how much you'll know about the Trump White House, in the sense of quantifiable data, after reading this astonishing book. But what is irrefutable is how much you'll *understand* this administration and its tragic, even fatal flaws.  This is the proverbial ""fly on the wall"" chronicle, and is a must-read for anyone that wants to grasp the breadth of dysfunction and degeneracy that attend this Presidency.",February-21-2018,5
44,"What a great read! First and foremost, Wolff offers us an amazing behind-the-scenes perspective into the disarray in the White House.  Most of us will never get this kind of fly-on-the-wall access. Everyone portrayed seems much more human than they do on TV. That's both reassuring and scary.The main reason I couldn't put this book down was the amazing pace of cataclysmic events.  Were this a work of fiction, it would seem so implausible that it wouldn't hold my interest.  But since the last 12 months of news corroborates so much of what's in here, it becomes a thriller. (It also makes the news more interesting, like 'bonus material'.)  I read the entire book cover-to-cover in maybe three days.",January-15-2018,5
45,Great book. It tells us what we already knew.  The fact a president called for this book to be banned made it more interesting.,January-8-2018,5
46,"What a Wild ride of a book. I am still shaking my head to see this all in print. This  book is one of those instances where truth IS stranger than fiction. Events over the past year have moved so quickly that I feel that I am on a treadmill without a control. Whenever I feel I might be in a comfort zone the treadmill moves up a couple of notches.This book has let me see what has happened to  our country since the election of Trump & it isn't a pretty sight.I feel like a fly on the wall overhearing the conversations , visualizing the backstabbing, and watching the exits of so many staff members.. This is a must read for any followers of Shakespeare & it doesn't look as though it will end well for most of the cast of characters .What a gossipy, fun book to read. I bought the Kindle edition so that I could read it right away.",January-7-2018,5
47,"This book takes an emotionally strong person to finish without being overcome with anxiety and anger. It's clear that even those closest to Trump think he's unfit for office, yet go a long with it to claim their own power. It's clear to me that America is in the middle of a serious crisis unlike any we've faced before.A blue wave can't come soon enough.",January-26-2018,5
48,"When I read this book I feel as if I am sticking it to the man...or in this case Trump. I cannot speak for the books authenticity, but it does explain a lot of what many people suspected about Trump and his Administration. If only Trump would just resign and stop torturing his voters and the rest of America.",February-15-2018,5
49,"Thankfully I'm not a US citizen. If I was, this book would make my cry. Trump never expected or wanted to be US President by all accounts and it started out as a grandiose ego trip that went badly astray when he won.  Well worth the read, if only to confirm one's thoughts on the partisan politics running the USA today.",January-27-2018,5
50,Bought this book if for nothing else to piss Trump off.  Will be best $15 spent.  Hope to see this on the best sellers list so I'm doing my part.  And yes I can't wait to read it.  He has spent the last year pissing me off so turn about is fair play!,January-5-2018,5
51,"I personally do not believe there is one bit of "" Fake News"" in FIRE and FURY. The spin doctors can try to spin it, but anyone with eyes and ears can corroborate the events detailed in the book. There were times when I actually had to laugh out loud at this sad and tragic tale. How far the U.S. has fallen with the election of Donald J. Trump. Excellent read!",January-23-2018,5
52,"I really enjoyed this book.  It felt as if it organized the craziness of the past year into a cohesive timeline.  There were many things I forgot about because this past year has been one disaster after another.  It was interesting to read about the infighting occurring among the various players of the executive staff.  The book basically covers the events that we had all heard about, but knowing who was doing what, or why they were doing it provided an interesting background.  I was never bored reading this, and more than once found myself shaking my head saying, ""You can't make this s*@t up.""  You'll find yourself bouncing between disbelief, humor, anger, sadness, and incredulity while reading this book.",February-13-2018,5
53,"Like many other reviewers, I really only purchased this book in protest. I normally donâ€™t read â€œcelebrityâ€ù gossip, and I have a feeling thatâ€™s what much of this book is. However, if even 10% of the information is accurate, what an even more frightening situation we are in. We the People must continue to fight back against a president who strives to dictate what we read and how we think.",January-6-2018,5
54,"Reading the background info on Trump actions over the last year plus, clarifies the dysfunction based upon the greed for power of all these soulless individuals. The only character not present was Satan!",January-15-2018,5
55,"Fire and Fury is way beyond a story about political intrigue. It is a frightening tale. It is a very dark comedy, darker still because every word is most likely true..At some points I thought I was reading "" Game of Thrones"". This book scares me. I thought at some times, "" this is like the horror version of the television show ""The Office"".Michael Wolff.... thank you, your the best!",January-22-2018,5
56,"Since Trump became president, nothing is his presidency has made much sense to me. His â€œmake America great againâ€ù theme was not being followed. In fact, it seemed like it was just the opposite - dismantling America, at home and abroad. This book, challenged as it has been by Fox, put everything into a rather clear perspective and is consistent with facts that are indisputable.  This book frightens me, yet gives me hope that good people will eventually jump ship, sooner or later.",January-16-2018,5
57,"With a lot of the reviews of the bad editing of the Kindle edition I decided to order & endure the extended wait for the hardcover edition.  I'm hoping that edition will contain satisfactory editing which will make the read easier.On that note though, I did peruse the Kindle edition belonging to a relative.  I didn't read much at all, just enough to give me a taste, as I didn't want to spoil the impact for me.  But I wasn't all that surprised by the content I did read as it simply reinforces what we have been experiencing over the last year being reported by mainstream news outlets & 45th's incessant tweets.I am a registered Democrat, though do not always stick to the party line.  It is my opinion that the BEST person for a job should have it even if they aren't of my political affiliation.  Go ahead other Dems, call me a traitor, but I truly am not.  About 95% of the time I do vote my party since that is where I almost always find a candidate who suits what I feel are the needs of this great nation.  That is just one of the great things of the USA...we have the power to make our own choices!But I am a diehard Trump critic.  So Trump supporters, there's your bullseye to attack me.  I have never been a ""fan"" long before he even thought of running for POTUS.  Nothing in the world prepared me for him actually winning the election.  Needless to say, my opinion of his policies, temperament, business ethic, supervisory style, personality & lifestyle have only gotten worse.But so far, through all his antics, America still supports our constitution & the bill of rights as demonstrated by not only the writing of this tome but by the failed attempt by the administration to stop its publication; just one of this administration's attempt to worm its way around our founding father's principles for this country.  Any publication he tries to stop & hates so very much must be full of so many things he wishes not to go public.  That should both scare us & empower us to affect change.",January-21-2018,5
58,"Engaging book. I bought it simply because 45 didn't want anyone to buy it. Yes, pretty damning. And we're still here.Thanks, Michael Wolff.Stay informed, America.",January-27-2018,5
59,"Fire and Fury didn't tell me much I didn't already know (or suspect) about Donny T. and his minions, but it was still an entertaining read. My one complaint would be that it's too Bannon-heavy. Pretty much every chapter has Sloppy Steve's footprint on it. I was fascinated by the way the staff has to work around Donny to try and get anything done and how pretty much everyone is looking for a way to push his or her own agenda. There's no sense of teamwork here. Everyone is in it for him/herself.",January-20-2018,4
60,Thoroughly disturbing portrayal of the shell of a man being led by opposing forces trying to lead our country.,January-5-2018,5
61,"I could not find any ""Fake News"" or ""Alternative Facts"" in Michael Wolff's book. It was definitely worth the price and I had a very difficult time putting it down. When I heard that Donald J. Trump had won the election, the hair on my arms stood straight up--and not from any amount of excitement, to say the least. My gut instinct was that ""our country was now in ""Big Trouble"", and that instinct was ""Spot On"", as usual for me. Trump is 100% pure NARCISSIST. They should have his picture in the dictionary next to the word. He covers up his lies with more lies, then gets confused about which lie he used previously. He calls himself a ""Christian"", but does not practice even the simplest forms of Christian behavior. He treats his wife like a second-class citizen and shows her no respect at all. If he is doing those things to Melania in public, I have to wonder what a hell her private life with this man must be like. I could go on an on, but will leave it a this: I dream of the day when America won't have to hear or see the name of ""Donald J. Trump"" ever again. I hope he will go down in a whirlpool of much-deserved shame and end up with nothing. Much the same as Kwame Kilpatrick did, as mayor of Detroit.",May-5-2018,5
62,"""Fire and Fury"" confirmed much of what I have suspected about the Trump administration from various media outlets, as well as from other informational texts.  Wolff's narrative explains what happened ""before"" and ""after"" Trump's Twitter storms and his statements to the press.  I had no difficulty believing what I was reading because it tracked so clearly with everything I've seen since Trump announced that he was running.  The attributed quotations and the list of sources named in the Acknowledgements adds to Wolff's credibility. Trump's response to the book further lends credibility to Wolff.  Wolff's book is like a voice-over of a Trump montage of the past two years.",January-10-2018,5
